epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2284.85,1.17531,1.96571,1.45967,0.95397,0.87055,0.88201,0.71319,0.78183,0.77733,1.21603,7.93754e-06,7.93754e-06,7.93754e-06
40,2343.35,1.18608,1.98345,1.46332,0.95969,0.87565,0.88271,0.71612,0.77964,0.77254,1.21145,7.80952e-06,7.80952e-06,7.80952e-06
41,2401.82,1.19567,2.00129,1.47737,0.959,0.8743,0.88222,0.71892,0.77838,0.75116,1.21092,7.68151e-06,7.68151e-06,7.68151e-06
42,2460.35,1.15993,1.86845,1.45088,0.95331,0.88,0.88317,0.72033,0.77318,0.74547,1.20889,7.55349e-06,7.55349e-06,7.55349e-06
43,2518.79,1.19278,1.91666,1.46776,0.96233,0.88,0.88366,0.72271,0.76669,0.73846,1.2047,7.42547e-06,7.42547e-06,7.42547e-06
44,2577.28,1.15546,1.93557,1.45479,0.97196,0.87933,0.88332,0.72208,0.75969,0.72215,1.19968,7.29745e-06,7.29745e-06,7.29745e-06
45,2635.67,1.16419,1.89733,1.43706,0.98222,0.88,0.88478,0.72235,0.75733,0.71258,1.19749,7.16943e-06,7.16943e-06,7.16943e-06
46,2694.11,1.12424,1.88473,1.42272,0.96485,0.87864,0.88227,0.72372,0.75144,0.703,1.19241,7.04141e-06,7.04141e-06,7.04141e-06
47,2752.59,1.17221,1.87283,1.44662,0.97284,0.87161,0.8837,0.72465,0.75563,0.69166,1.19585,6.91339e-06,6.91339e-06,6.91339e-06
48,2811.09,1.14795,1.86378,1.43553,0.97356,0.87697,0.88519,0.72741,0.75238,0.67793,1.19532,6.78537e-06,6.78537e-06,6.78537e-06
49,2869.51,1.15017,1.81772,1.43281,0.97706,0.87592,0.88624,0.72806,0.75303,0.66879,1.19398,6.65735e-06,6.65735e-06,6.65735e-06
