epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1521,1.55649,3.00352,1.80148,0.69757,0.84453,0.92801,0.63281,0.93299,2.65903,1.33493,0.000361917,0.000361917,0.000361917
2,52.3889,1.23785,1.43722,1.51241,0.53478,0.61751,0.72856,0.49053,1.11827,3.05185,1.8183,0.000725001,0.000725001,0.000725001
3,77.4731,1.2725,1.27356,1.51852,0.65588,0.93326,0.88118,0.59506,1.05768,2.64904,1.57333,0.00108075,0.00108075,0.00108075
4,102.552,1.23241,1.12166,1.46637,0.78449,0.2,0.34066,0.21069,2.33001,4.18833,2.54561,0.001078,0.001078,0.001078
5,127.492,1.14351,1.08237,1.40013,0.85448,0.85947,0.93587,0.67377,0.89824,1.5197,1.36214,0.001067,0.001067,0.001067
6,152.511,1.09799,0.951,1.37633,0.8297,0.95428,0.9882,0.76564,0.86339,1.9272,1.3031,0.00105601,0.00105601,0.00105601
7,177.533,1.04649,0.88913,1.36457,0.68948,0.97,0.8562,0.65085,0.80779,1.11103,1.16095,0.00104501,0.00104501,0.00104501
8,202.45,1.01938,0.8532,1.32636,0.91081,0.93364,0.97747,0.7767,0.7679,0.86136,1.18218,0.00103401,0.00103401,0.00103401
9,227.409,1.014,0.84904,1.32424,0.97598,1,0.9908,0.71134,0.95901,0.67548,1.28448,0.00102301,0.00102301,0.00102301
10,252.335,1.01916,0.83563,1.3336,0.92464,0.99528,0.9838,0.77113,0.7465,0.64301,1.11602,0.00101201,0.00101201,0.00101201
11,277.253,0.96036,0.74992,1.2833,0.96146,0.99305,0.9903,0.80278,0.66476,0.60704,1.05442,0.00100101,0.00100101,0.00100101
12,302.281,0.96929,0.75375,1.30098,0.98191,1,0.9893,0.82467,0.58025,0.6839,1.02394,0.000990012,0.000990012,0.000990012
13,327.296,0.87842,0.69115,1.21626,0.95608,1,0.9945,0.83486,0.62416,0.71312,1.06311,0.000979013,0.000979013,0.000979013
14,352.273,0.89238,0.68232,1.22725,0.97167,0.99518,0.9861,0.8373,0.60218,0.60289,1.02062,0.000968014,0.000968014,0.000968014
15,377.285,0.88675,0.70292,1.246,0.98036,1,0.9856,0.8424,0.68319,0.50395,1.06324,0.000957015,0.000957015,0.000957015
16,402.275,0.90855,0.70208,1.25128,0.97494,1,0.9887,0.85222,0.58978,0.45914,0.99414,0.000946016,0.000946016,0.000946016
17,427.271,0.87052,0.64932,1.22757,0.94957,0.92671,0.9898,0.84357,0.65446,0.72343,1.05781,0.000935018,0.000935018,0.000935018
18,452.23,0.85221,0.63914,1.21099,0.98479,1,0.9872,0.83613,0.63721,0.50095,0.99983,0.000924019,0.000924019,0.000924019
19,477.125,0.87455,0.64635,1.23219,0.94837,0.99052,0.9861,0.85667,0.52383,0.55925,0.97671,0.00091302,0.00091302,0.00091302
20,502.138,0.82602,0.60988,1.19088,0.97591,1,0.9914,0.85244,0.54767,0.52967,0.97542,0.000902021,0.000902021,0.000902021
21,527.053,0.80653,0.56961,1.17658,0.98246,1,0.98505,0.86836,0.51296,0.46328,0.96698,0.000891022,0.000891022,0.000891022
22,552.024,0.81352,0.61108,1.19368,0.97772,0.99792,0.9919,0.87493,0.49899,0.45944,0.96119,0.000880023,0.000880023,0.000880023
23,577.076,0.79874,0.60636,1.1998,0.98054,1,0.9924,0.83751,0.56309,0.63793,1.01119,0.000869024,0.000869024,0.000869024
24,602.012,0.78617,0.57019,1.17826,0.985,1,0.9935,0.87058,0.50534,0.43247,0.96614,0.000858025,0.000858025,0.000858025
25,626.912,0.77473,0.56088,1.1727,0.97857,1,0.9919,0.86126,0.62983,0.48957,1.00274,0.000847026,0.000847026,0.000847026
26,651.839,0.79694,0.57208,1.17,0.97562,0.99985,0.9945,0.86683,0.58255,0.5198,0.98937,0.000836027,0.000836027,0.000836027
27,676.787,0.77365,0.5651,1.16489,0.98376,1,0.9908,0.88396,0.49528,0.41517,0.93987,0.000825029,0.000825029,0.000825029
28,701.776,0.77345,0.56539,1.1764,0.98335,0.99913,0.9908,0.87308,0.50792,0.45168,0.96157,0.00081403,0.00081403,0.00081403
29,726.708,0.76043,0.55469,1.1558,0.98416,1,0.9872,0.88604,0.48328,0.40843,0.94458,0.000803031,0.000803031,0.000803031
30,751.745,0.74799,0.52324,1.15012,0.98497,1,0.9877,0.87335,0.45685,0.42393,0.93966,0.000792032,0.000792032,0.000792032
31,776.638,0.70868,0.48564,1.1187,0.98619,1,0.9898,0.8887,0.46517,0.43485,0.93073,0.000781033,0.000781033,0.000781033
32,801.654,0.73204,0.52305,1.12989,0.98538,1,0.9893,0.85922,0.54594,0.43881,0.98587,0.000770034,0.000770034,0.000770034
33,826.543,0.73233,0.5094,1.12758,0.9782,0.99863,0.9898,0.8857,0.51287,0.44223,0.95528,0.000759035,0.000759035,0.000759035
