epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2407,2.1678,6.5371,2.32918,0.89411,0.07994,0.12629,0.09568,2.01516,4.11171,2.30599,0.0670806,4.76602e-05,4.76602e-05
2,119.207,1.95379,5.05748,2.10459,0.96212,0.165,0.20981,0.16156,1.52533,2.91781,1.82218,0.0337945,9.48914e-05,9.48914e-05
3,177.849,1.71068,4.07139,1.8997,0.70072,0.38814,0.52566,0.35044,1.34497,2.13053,1.59219,0.000507459,0.000141159,0.000141159
4,236.442,1.40106,2.96029,1.64457,0.87808,0.64816,0.76199,0.57361,0.94458,1.42561,1.32991,0.000140232,0.000140232,0.000140232
5,294.839,1.25196,2.28449,1.523,0.8498,0.84785,0.8635,0.68681,0.79563,0.91685,1.23143,0.000138786,0.000138786,0.000138786
6,353.22,1.14897,1.82884,1.44187,0.96673,0.86601,0.8845,0.70864,0.79544,0.67747,1.22357,0.000137341,0.000137341,0.000137341
7,411.526,1.1124,1.63433,1.4154,0.97274,0.86354,0.89021,0.73842,0.72901,0.60877,1.17147,0.000135895,0.000135895,0.000135895
8,469.827,1.03543,1.43117,1.34905,0.98071,0.87,0.89679,0.75244,0.69916,0.51721,1.14639,0.000134449,0.000134449,0.000134449
9,528.567,1.00914,1.30025,1.33523,0.9837,0.8866,0.92459,0.76181,0.69743,0.45944,1.13896,0.000133004,0.000133004,0.000133004
10,586.926,0.97354,1.14069,1.3077,0.9655,0.9,0.9345,0.77025,0.69351,0.43577,1.14155,0.000131558,0.000131558,0.000131558
11,645.177,0.95689,1.10579,1.30244,0.90989,0.931,0.94487,0.77196,0.67635,0.42505,1.12699,0.000130112,0.000130112,0.000130112
12,703.478,0.8937,0.98341,1.24254,0.93381,0.95191,0.95607,0.7902,0.64661,0.46811,1.10988,0.000128667,0.000128667,0.000128667
13,761.716,0.89239,0.9515,1.25029,0.94201,0.965,0.95865,0.78759,0.67858,0.43066,1.131,0.000127221,0.000127221,0.000127221
14,819.942,0.86264,0.89436,1.23326,0.93156,0.9652,0.96235,0.79662,0.65264,0.4117,1.11158,0.000125775,0.000125775,0.000125775
15,878.205,0.84301,0.83154,1.20797,0.96152,0.959,0.96306,0.79401,0.65894,0.3744,1.1124,0.00012433,0.00012433,0.00012433
16,936.729,0.86763,0.82584,1.22805,0.95996,0.95668,0.96612,0.79435,0.65993,0.39442,1.11899,0.000122884,0.000122884,0.000122884
17,994.932,0.84156,0.78016,1.1953,0.95309,0.96,0.96286,0.79535,0.66228,0.35519,1.11871,0.000121438,0.000121438,0.000121438
18,1053.1,0.84911,0.78874,1.22167,0.95952,0.96374,0.97636,0.80309,0.65121,0.32297,1.10576,0.000119993,0.000119993,0.000119993
19,1111.26,0.84124,0.76589,1.19661,0.95383,0.965,0.9774,0.8156,0.6592,0.34227,1.11199,0.000118547,0.000118547,0.000118547
20,1169.48,0.80234,0.70404,1.1781,0.96569,0.97045,0.98029,0.81258,0.65524,0.31912,1.10657,0.000117101,0.000117101,0.000117101
21,1227.67,0.8002,0.71167,1.18623,0.95136,0.98682,0.98407,0.82443,0.61932,0.32898,1.09232,0.000115656,0.000115656,0.000115656
22,1285.89,0.79766,0.67972,1.18151,0.95237,0.99065,0.98556,0.81946,0.64039,0.3118,1.10393,0.00011421,0.00011421,0.00011421
23,1344.1,0.81133,0.68592,1.19093,0.95657,0.965,0.98159,0.81057,0.65338,0.32053,1.10451,0.000112764,0.000112764,0.000112764
24,1402.63,0.7909,0.65759,1.16697,0.95438,0.99786,0.98916,0.83132,0.60614,0.30109,1.07852,0.000111319,0.000111319,0.000111319
25,1460.82,0.79623,0.64756,1.16801,0.96711,0.98336,0.992,0.83679,0.61544,0.30998,1.08275,0.000109873,0.000109873,0.000109873
26,1519.01,0.7803,0.63351,1.15821,0.96657,1,0.99452,0.84394,0.61342,0.29559,1.08959,0.000108427,0.000108427,0.000108427
27,1577.41,0.78393,0.63106,1.1695,0.9652,0.98,0.98638,0.82591,0.60106,0.29048,1.0758,0.000106982,0.000106982,0.000106982
