epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.9332,2.06088,5.88961,2.22695,0.72472,0.29795,0.27856,0.19735,1.55485,2.92151,1.82261,0.0672005,0.000228073,0.000228073
2,120.301,1.5734,3.61043,1.79721,0.70997,0.6036,0.66378,0.49601,1.00611,1.82196,1.43455,0.0340928,0.000453676,0.000453676
3,179.199,1.30166,2.32563,1.56274,0.95539,0.8457,0.88502,0.70728,0.83476,0.72627,1.24743,0.000980488,0.000674678,0.000674678
4,237.941,1.10914,1.55396,1.39816,0.9762,0.88189,0.90825,0.73849,0.76094,0.62333,1.17954,0.000669844,0.000669844,0.000669844
5,296.66,1.02897,1.1535,1.31277,0.91116,0.935,0.94363,0.76434,0.72617,0.44776,1.15962,0.000662941,0.000662941,0.000662941
6,355.433,0.93126,0.91854,1.27905,0.93541,0.94738,0.96544,0.77002,0.7139,0.39792,1.1418,0.000656038,0.000656038,0.000656038
7,414.147,0.94619,0.8684,1.28631,0.94122,0.95,0.95494,0.7916,0.68618,0.39791,1.12892,0.000649135,0.000649135,0.000649135
8,473.259,0.89689,0.77102,1.23372,0.93974,0.97409,0.97384,0.80684,0.66489,0.35066,1.13783,0.000642232,0.000642232,0.000642232
9,532.018,0.86164,0.7077,1.2237,0.95904,0.98832,0.9852,0.8164,0.64644,0.32378,1.10659,0.000635329,0.000635329,0.000635329
10,590.734,0.84162,0.65143,1.20116,0.95971,0.995,0.99455,0.82476,0.6545,0.32345,1.10077,0.000628426,0.000628426,0.000628426
11,649.434,0.85889,0.66289,1.22287,0.96961,0.99248,0.99405,0.80286,0.69134,0.35378,1.12782,0.000621523,0.000621523,0.000621523
12,708.18,0.84387,0.62481,1.19069,0.96095,0.97463,0.99229,0.81392,0.63885,0.33783,1.11314,0.000614619,0.000614619,0.000614619
13,766.822,0.80763,0.57229,1.17502,0.97672,0.96224,0.99385,0.81999,0.63627,0.35475,1.09326,0.000607716,0.000607716,0.000607716
14,825.487,0.82412,0.61109,1.18514,0.96415,0.975,0.98679,0.81542,0.62975,0.32261,1.09255,0.000600813,0.000600813,0.000600813
15,884.459,0.79708,0.55628,1.1659,0.94995,0.975,0.98665,0.83162,0.62059,0.31073,1.08904,0.00059391,0.00059391,0.00059391
16,943.194,0.8012,0.56217,1.15684,0.97918,0.97889,0.99257,0.82868,0.64903,0.3466,1.11564,0.000587007,0.000587007,0.000587007
17,1001.84,0.79272,0.54881,1.15569,0.97671,1,0.99333,0.83115,0.63216,0.32134,1.09126,0.000580104,0.000580104,0.000580104
18,1060.54,0.80696,0.57401,1.17404,0.9747,1,0.99452,0.8193,0.66548,0.32464,1.10673,0.000573201,0.000573201,0.000573201
19,1119.14,0.78824,0.5378,1.14051,0.98275,0.99893,0.995,0.83608,0.63391,0.3134,1.11219,0.000566298,0.000566298,0.000566298
20,1177.81,0.76127,0.50114,1.13633,0.97102,0.98782,0.99385,0.82353,0.6509,0.32807,1.11009,0.000559395,0.000559395,0.000559395
21,1236.44,0.76245,0.50795,1.13876,0.97825,0.99773,0.995,0.8259,0.64649,0.30947,1.09576,0.000552492,0.000552492,0.000552492
22,1295.49,0.7729,0.5127,1.15045,0.98725,0.99512,0.995,0.84106,0.62463,0.31465,1.08275,0.000545589,0.000545589,0.000545589
23,1354.14,0.75697,0.49893,1.14079,0.96976,1,0.995,0.85115,0.58637,0.30298,1.05695,0.000538686,0.000538686,0.000538686
24,1412.79,0.7499,0.49743,1.14113,0.98434,0.99964,0.995,0.84452,0.60466,0.29688,1.07632,0.000531782,0.000531782,0.000531782
25,1471.4,0.7398,0.48563,1.13247,0.9754,0.99657,0.995,0.86026,0.57496,0.30285,1.03545,0.000524879,0.000524879,0.000524879
26,1530.09,0.74379,0.48121,1.1236,0.97478,0.99743,0.995,0.84302,0.61883,0.29024,1.05992,0.000517976,0.000517976,0.000517976
27,1588.78,0.73305,0.47237,1.12011,0.96849,0.99973,0.995,0.84857,0.6128,0.28361,1.06082,0.000511073,0.000511073,0.000511073
28,1647.41,0.71334,0.46071,1.11035,0.98795,1,0.995,0.85086,0.5983,0.27268,1.05303,0.00050417,0.00050417,0.00050417
29,1706.41,0.72242,0.46687,1.11539,0.98513,1,0.995,0.84344,0.61591,0.27787,1.04938,0.000497267,0.000497267,0.000497267
30,1765.07,0.71374,0.46288,1.10542,0.99177,1,0.995,0.84747,0.64186,0.27403,1.06271,0.000490364,0.000490364,0.000490364
31,1823.66,0.74613,0.47714,1.12366,0.98681,1,0.995,0.85303,0.6166,0.28114,1.05206,0.000483461,0.000483461,0.000483461
32,1882.31,0.70408,0.43956,1.09492,0.99096,0.98842,0.9943,0.84776,0.61503,0.26862,1.04098,0.000476558,0.000476558,0.000476558
33,1940.93,0.70869,0.43627,1.09584,0.98853,1,0.995,0.8534,0.61667,0.25857,1.04965,0.000469655,0.000469655,0.000469655
34,1999.59,0.7132,0.4371,1.09366,0.98482,1,0.995,0.85967,0.60097,0.25506,1.03232,0.000462752,0.000462752,0.000462752
35,2058.32,0.69665,0.42432,1.09075,0.99081,1,0.995,0.85079,0.62154,0.26169,1.04536,0.000455849,0.000455849,0.000455849
36,2117.1,0.69567,0.43648,1.08614,0.99091,1,0.995,0.85789,0.61621,0.2758,1.06666,0.000448945,0.000448945,0.000448945
37,2175.8,0.68353,0.4282,1.08515,0.98915,1,0.995,0.85745,0.60378,0.25831,1.03975,0.000442042,0.000442042,0.000442042
38,2234.48,0.68897,0.41494,1.08486,0.98434,1,0.99429,0.86094,0.59596,0.25566,1.04561,0.000435139,0.000435139,0.000435139
39,2293.13,0.69883,0.41617,1.08948,0.99431,1,0.995,0.85745,0.58873,0.25763,1.02426,0.000428236,0.000428236,0.000428236
40,2351.75,0.6784,0.41151,1.07157,0.99347,0.9993,0.995,0.8557,0.60675,0.25777,1.03965,0.000421333,0.000421333,0.000421333
41,2410.39,0.67921,0.40782,1.07184,0.98891,1,0.995,0.84884,0.59262,0.25301,1.0379,0.00041443,0.00041443,0.00041443
42,2469.08,0.67053,0.40568,1.07333,0.98775,1,0.995,0.85198,0.61029,0.26345,1.05831,0.000407527,0.000407527,0.000407527
43,2528.04,0.68071,0.4092,1.07295,0.98577,1,0.995,0.85744,0.60755,0.26189,1.05324,0.000400624,0.000400624,0.000400624
44,2586.66,0.68071,0.40163,1.07504,0.9892,1,0.995,0.84925,0.60679,0.25906,1.04184,0.000393721,0.000393721,0.000393721
45,2645.29,0.65833,0.39404,1.05979,0.98745,1,0.995,0.8603,0.59243,0.25454,1.03824,0.000386818,0.000386818,0.000386818
46,2703.95,0.66524,0.39463,1.05965,0.99027,0.99999,0.995,0.86255,0.57879,0.23724,1.02368,0.000379915,0.000379915,0.000379915
47,2762.61,0.66631,0.39763,1.07273,0.98894,1,0.995,0.86351,0.5965,0.24191,1.03032,0.000373012,0.000373012,0.000373012
48,2821.28,0.64001,0.37674,1.04316,0.98906,1,0.995,0.85904,0.60878,0.24873,1.03272,0.000366109,0.000366109,0.000366109
49,2879.87,0.64214,0.38738,1.05134,0.98986,0.99793,0.995,0.86149,0.60372,0.24119,1.04656,0.000359205,0.000359205,0.000359205
50,2938.83,0.66274,0.38199,1.06305,0.98913,1,0.995,0.86358,0.59436,0.23958,1.047,0.000352302,0.000352302,0.000352302
51,2997.49,0.64131,0.38275,1.05402,0.99285,1,0.995,0.87041,0.56713,0.24198,1.01007,0.000345399,0.000345399,0.000345399
52,3056.18,0.64532,0.3836,1.0555,0.99181,1,0.995,0.87112,0.59092,0.25129,1.02321,0.000338496,0.000338496,0.000338496
