epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.1911,1.78081,5.44058,2.03304,0.70215,0.72837,0.7173,0.54668,1.0481,1.6336,1.37513,0.0680085,0.00117841,0.00117841
2,129.631,1.26097,2.09475,1.54739,0.98902,0.87454,0.87333,0.68546,0.90838,0.71346,1.22783,0.0358359,0.00233916,0.00233916
3,192.669,1.12737,1.39091,1.41565,0.80747,0.85211,0.86002,0.625,1.06449,1.09001,1.41687,0.00363979,0.00347639,0.00347639
4,255.363,1.25262,1.39393,1.46997,0.92164,0.87743,0.89278,0.66943,0.96799,0.80643,1.30375,0.00344679,0.00344679,0.00344679
5,318.009,1.22567,1.23475,1.45028,0.9556,0.84481,0.93976,0.70489,0.95449,0.96485,1.3324,0.00341151,0.00341151,0.00341151
6,380.743,1.21947,1.20523,1.45648,0.86028,0.89864,0.91645,0.70556,0.88838,0.88238,1.30615,0.00337623,0.00337623,0.00337623
7,443.413,1.25885,1.14564,1.50051,0.66297,0.89053,0.87771,0.65149,0.88934,1.07294,1.31455,0.00334095,0.00334095,0.00334095
8,506.171,1.17791,1.03453,1.43134,0.8437,0.91572,0.90014,0.69109,0.91601,0.86979,1.3812,0.00330566,0.00330566,0.00330566
9,569.184,1.11522,0.99389,1.38716,0.92172,0.89375,0.9307,0.7503,0.84573,0.6769,1.24518,0.00327038,0.00327038,0.00327038
10,631.967,1.10544,0.9587,1.37039,0.9209,0.95268,0.93892,0.74637,0.81453,0.70904,1.19231,0.0032351,0.0032351,0.0032351
11,694.692,1.13601,0.96749,1.43604,0.91331,0.8375,0.8481,0.66376,0.80928,1.05702,1.26112,0.00319981,0.00319981,0.00319981
12,757.479,1.07232,0.91589,1.36167,0.91896,0.95892,0.96459,0.75818,0.81085,0.68227,1.19343,0.00316453,0.00316453,0.00316453
13,820.265,1.06452,0.88757,1.35001,0.92646,0.95,0.94465,0.76002,0.74219,0.59957,1.16994,0.00312925,0.00312925,0.00312925
14,883.073,1.07948,0.8903,1.36678,0.90416,0.98125,0.96113,0.7489,0.79898,0.57752,1.23247,0.00309397,0.00309397,0.00309397
15,945.821,1.02678,0.82035,1.32828,0.98809,0.875,0.93353,0.73542,0.78349,0.61747,1.19391,0.00305868,0.00305868,0.00305868
16,1008.97,1.08959,0.87224,1.38456,0.92673,0.98125,0.97771,0.75656,0.82385,0.65503,1.26063,0.0030234,0.0030234,0.0030234
17,1071.77,1.03954,0.84392,1.34847,0.938,0.95812,0.95632,0.7712,0.76209,0.50836,1.15924,0.00298812,0.00298812,0.00298812
18,1134.79,1.02984,0.80388,1.32829,0.94522,0.89688,0.96201,0.74964,0.79675,0.63908,1.20513,0.00295283,0.00295283,0.00295283
19,1197.63,1.02056,0.79295,1.32548,0.92215,0.9625,0.96596,0.75634,0.79201,0.5602,1.22918,0.00291755,0.00291755,0.00291755
20,1260.62,1.0117,0.80431,1.33679,0.85886,0.88996,0.92324,0.74123,0.78963,0.61741,1.25856,0.00288227,0.00288227,0.00288227
21,1323.47,0.97186,0.75306,1.30971,0.93026,0.975,0.97335,0.78533,0.75597,0.51613,1.21379,0.00284699,0.00284699,0.00284699
22,1386.46,0.95578,0.74102,1.27953,0.94998,0.99375,0.98685,0.79563,0.72357,0.57324,1.14614,0.0028117,0.0028117,0.0028117
23,1449.33,0.9806,0.7534,1.29592,0.94884,0.96875,0.9776,0.80339,0.69742,0.49895,1.12614,0.00277642,0.00277642,0.00277642
24,1512.51,0.95817,0.73197,1.26822,0.9715,1,0.995,0.79776,0.73178,0.56955,1.11873,0.00274114,0.00274114,0.00274114
25,1575.3,0.95211,0.72725,1.27813,0.94098,0.975,0.98173,0.79148,0.71276,0.49594,1.15859,0.00270586,0.00270586,0.00270586
26,1638.23,0.96089,0.73153,1.28669,0.89903,0.99122,0.99338,0.81475,0.71734,0.56559,1.16056,0.00267057,0.00267057,0.00267057
27,1701.22,0.94955,0.71698,1.26204,0.98301,0.99375,0.99166,0.8346,0.65935,0.4426,1.05299,0.00263529,0.00263529,0.00263529
28,1764.11,0.94978,0.71276,1.26908,0.98428,0.99375,0.99443,0.81989,0.68091,0.43714,1.08303,0.00260001,0.00260001,0.00260001
