epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5838,2.06059,5.51248,2.31359,0.00037,0.19,0.00049,0.00016,1.85935,4.78757,2.12709,0.0840588,5.87694e-05,5.87694e-05
2,51.1921,1.89284,4.94963,2.16672,0.00342,0.47,0.00919,0.00391,1.36551,4.21049,1.71819,0.0671204,0.000120448,0.000120448
3,75.8066,1.67229,3.97664,1.97096,0.74911,0.31221,0.40119,0.2911,1.17721,3.09683,1.54779,0.0501813,0.000181338,0.000181338
4,100.543,1.4658,3.07677,1.77353,0.7247,0.54365,0.59042,0.46055,0.86837,2.27743,1.25896,0.0332414,0.000241442,0.000241442
5,125.144,1.20574,2.26113,1.54187,0.84483,0.80122,0.8592,0.68899,0.70471,1.17585,1.12124,0.0163008,0.000300757,0.000300757
6,149.71,1.1716,1.90613,1.52768,0.90307,0.94809,0.97145,0.80495,0.54015,0.78109,1.02279,0.000355728,0.000355728,0.000355728
7,174.243,1.05016,1.51198,1.40261,0.96369,0.99766,0.9887,0.85839,0.52051,0.58577,0.98679,0.000353412,0.000353412,0.000353412
8,198.79,0.93637,1.24753,1.32001,0.9349,0.96842,0.9757,0.85171,0.48171,0.53872,0.9594,0.000351096,0.000351096,0.000351096
9,223.324,0.92433,1.10927,1.29907,0.98522,0.99521,0.9924,0.87904,0.44662,0.42473,0.93219,0.00034878,0.00034878,0.00034878
10,247.869,0.86796,0.99076,1.2611,0.98006,0.9977,0.9924,0.8767,0.45819,0.40732,0.93318,0.000346464,0.000346464,0.000346464
11,272.351,0.82786,0.94236,1.22351,0.98323,1,0.9861,0.8733,0.45323,0.37207,0.92661,0.000344147,0.000344147,0.000344147
12,296.836,0.788,0.83399,1.17656,0.98232,0.99627,0.9929,0.88491,0.48263,0.37478,0.95036,0.000341831,0.000341831,0.000341831
13,321.404,0.78883,0.81228,1.18781,0.97949,0.99668,0.9856,0.88137,0.44274,0.31786,0.91383,0.000339515,0.000339515,0.000339515
14,345.841,0.76373,0.77032,1.16214,0.98499,0.9928,0.9872,0.87854,0.45341,0.29034,0.91924,0.000337199,0.000337199,0.000337199
15,370.373,0.77832,0.77359,1.18306,0.9857,1,0.9903,0.89156,0.43858,0.26341,0.91573,0.000334883,0.000334883,0.000334883
16,394.849,0.72531,0.67523,1.14396,0.98122,1,0.9903,0.89151,0.42487,0.26098,0.90505,0.000332567,0.000332567,0.000332567
17,419.325,0.72541,0.64614,1.12871,0.98103,1,0.9877,0.89534,0.41761,0.23877,0.90588,0.00033025,0.00033025,0.00033025
18,443.809,0.70891,0.64789,1.13561,0.9804,1,0.9872,0.88874,0.4179,0.25625,0.89863,0.000327934,0.000327934,0.000327934
19,468.263,0.72576,0.72656,1.15419,0.98,1,0.9866,0.89093,0.40621,0.27511,0.8925,0.000325618,0.000325618,0.000325618
20,492.714,0.69922,0.61166,1.11649,0.98472,1,0.9861,0.88871,0.40766,0.25555,0.89355,0.000323302,0.000323302,0.000323302
21,517.163,0.68432,0.59701,1.11507,0.98404,1,0.9872,0.89307,0.41542,0.24857,0.90124,0.000320986,0.000320986,0.000320986
22,541.595,0.68384,0.5768,1.11638,0.98638,1,0.9908,0.89283,0.42796,0.22992,0.9077,0.00031867,0.00031867,0.00031867
23,566.054,0.66586,0.56,1.10322,0.98604,1,0.9919,0.89769,0.42401,0.23297,0.91041,0.000316354,0.000316354,0.000316354
24,590.582,0.66909,0.57376,1.11647,0.9843,1,0.9866,0.8897,0.4048,0.22988,0.89724,0.000314037,0.000314037,0.000314037
25,615.028,0.66563,0.57199,1.1181,0.98592,1,0.9866,0.88436,0.41441,0.22902,0.91358,0.000311721,0.000311721,0.000311721
26,639.494,0.63918,0.52681,1.10532,0.98468,1,0.9887,0.88986,0.42543,0.24563,0.91423,0.000309405,0.000309405,0.000309405
27,663.942,0.65952,0.53315,1.12636,0.9835,1,0.9872,0.89216,0.41943,0.24464,0.90322,0.000307089,0.000307089,0.000307089
28,688.435,0.67027,0.54569,1.10906,0.98093,1,0.9893,0.89748,0.39243,0.23233,0.88822,0.000304773,0.000304773,0.000304773
29,712.892,0.66084,0.50202,1.09615,0.98461,1,0.9908,0.89401,0.41971,0.22807,0.8958,0.000302457,0.000302457,0.000302457
30,737.352,0.64499,0.51563,1.08615,0.98366,1,0.9882,0.88827,0.43189,0.24031,0.91591,0.000300141,0.000300141,0.000300141
31,761.801,0.62696,0.48779,1.08738,0.98668,1,0.9861,0.90047,0.41121,0.24292,0.91672,0.000297824,0.000297824,0.000297824
32,786.277,0.64449,0.49293,1.08541,0.98536,1,0.9887,0.9005,0.41134,0.23311,0.90668,0.000295508,0.000295508,0.000295508
33,810.789,0.63341,0.48877,1.07296,0.9863,1,0.9935,0.9026,0.40862,0.21333,0.89936,0.000293192,0.000293192,0.000293192
34,835.283,0.63264,0.49483,1.06568,0.98563,1,0.98505,0.89293,0.40645,0.2234,0.90441,0.000290876,0.000290876,0.000290876
35,859.783,0.63619,0.47925,1.08152,0.98483,1,0.9903,0.90317,0.39579,0.22129,0.89366,0.00028856,0.00028856,0.00028856
36,884.236,0.60548,0.45793,1.06718,0.98548,1,0.9945,0.89986,0.40419,0.22242,0.89827,0.000286244,0.000286244,0.000286244
37,908.653,0.60982,0.4566,1.05834,0.98676,1,0.994,0.90063,0.44891,0.24573,0.92176,0.000283927,0.000283927,0.000283927
38,933.123,0.60541,0.44133,1.05816,0.98573,1,0.9914,0.91131,0.40181,0.22892,0.89615,0.000281611,0.000281611,0.000281611
39,957.673,0.62171,0.44841,1.05768,0.98465,1,0.994,0.90029,0.42047,0.23213,0.90558,0.000279295,0.000279295,0.000279295
40,982.118,0.61778,0.44635,1.06089,0.98584,1,0.9929,0.89726,0.41465,0.22572,0.89476,0.000276979,0.000276979,0.000276979
41,1006.59,0.6076,0.44082,1.05582,0.98645,1,0.9929,0.90693,0.39457,0.21769,0.89084,0.000274663,0.000274663,0.000274663
42,1031,0.60186,0.45388,1.04748,0.98628,1,0.9935,0.9139,0.38156,0.21553,0.89045,0.000272347,0.000272347,0.000272347
43,1055.54,0.62459,0.46013,1.07064,0.98673,1,0.9872,0.89996,0.4058,0.21719,0.90043,0.000270031,0.000270031,0.000270031
44,1079.99,0.58054,0.44644,1.03311,0.98549,1,0.9898,0.90919,0.3835,0.21056,0.88811,0.000267714,0.000267714,0.000267714
45,1104.43,0.57566,0.42296,1.03164,0.98534,1,0.9908,0.91067,0.38306,0.21087,0.8931,0.000265398,0.000265398,0.000265398
