epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.928,2.02931,5.35206,2.29064,0.00111,0.36,0.00282,0.00099,1.43695,4.35869,1.76404,0.0832999,0.000299901,0.000299901
2,49.1373,1.55072,3.53703,1.81774,0.65499,0.50395,0.55822,0.43492,0.82464,1.97897,1.28019,0.0656113,0.000611271,0.000611271
3,73.2544,1.14888,1.894,1.5149,0.66098,0.84459,0.84534,0.7104,0.60862,0.86162,1.07677,0.0479163,0.00091629,0.00091629
4,97.3547,0.9405,1.15439,1.30376,0.96642,0.99099,0.9945,0.87925,0.51599,0.41133,0.9947,0.030215,0.00121496,0.00121496
5,121.319,0.85318,0.83109,1.21062,0.89339,0.94271,0.99186,0.86766,0.52327,0.41028,0.99185,0.0125073,0.00150728,0.00150728
6,145.135,0.82465,0.75305,1.17844,0.90233,0.92965,0.98199,0.84594,0.5428,0.45701,0.98852,0.00167593,0.00167593,0.00167593
7,168.872,0.80418,0.64044,1.16483,0.93169,0.98883,0.9887,0.85673,0.53122,0.39888,0.99225,0.00165829,0.00165829,0.00165829
8,192.604,0.78597,0.64901,1.15288,0.97405,1,0.995,0.85135,0.53538,0.3611,1.00573,0.00164065,0.00164065,0.00164065
9,216.362,0.78816,0.6265,1.13304,0.89675,0.98907,0.9902,0.73308,0.75713,0.5671,1.2187,0.00162302,0.00162302,0.00162302
10,240.118,0.79639,0.59287,1.12671,0.69305,0.82192,0.88272,0.66035,0.84436,1.20537,1.26685,0.00160538,0.00160538,0.00160538
11,263.845,0.79274,0.57209,1.13228,0.97195,0.98591,0.9909,0.80616,0.71858,0.57812,1.13801,0.00158774,0.00158774,0.00158774
12,287.604,0.76522,0.54194,1.10883,0.9047,0.99096,0.99405,0.83958,0.61012,0.50798,1.01425,0.0015701,0.0015701,0.0015701
13,311.332,0.78697,0.5648,1.1298,0.97354,0.9828,0.994,0.83103,0.61688,0.44701,1.05922,0.00155246,0.00155246,0.00155246
14,335.093,0.78173,0.55047,1.12969,0.91991,0.91949,0.9937,0.8338,0.6409,0.57698,1.06589,0.00153482,0.00153482,0.00153482
15,358.827,0.77631,0.54818,1.12633,0.96386,0.99844,0.9872,0.75481,0.71841,0.71245,1.11846,0.00151718,0.00151718,0.00151718
16,382.569,0.79909,0.5698,1.13787,0.98137,1,0.9945,0.85986,0.54637,0.38999,1.0122,0.00149955,0.00149955,0.00149955
17,406.339,0.76843,0.53794,1.12148,0.9568,0.99636,0.9893,0.86709,0.54384,0.42732,1.03624,0.00148191,0.00148191,0.00148191
18,430.101,0.7692,0.54326,1.12308,0.93789,0.95039,0.9924,0.83057,0.6345,0.52198,1.09539,0.00146427,0.00146427,0.00146427
19,453.802,0.73521,0.51061,1.09959,0.98472,1,0.9945,0.87912,0.51622,0.3711,0.99683,0.00144663,0.00144663,0.00144663
20,477.579,0.72466,0.51427,1.10587,0.98515,1,0.9935,0.87586,0.54826,0.42902,0.99355,0.00142899,0.00142899,0.00142899
21,501.307,0.71694,0.49824,1.08232,0.95983,0.99914,0.98231,0.86045,0.51948,0.44018,0.97035,0.00141135,0.00141135,0.00141135
22,525.12,0.71768,0.48616,1.10089,0.9761,1,0.9856,0.85518,0.53165,0.38333,0.97243,0.00139371,0.00139371,0.00139371
23,548.87,0.70419,0.48409,1.08018,0.98325,1,0.995,0.87289,0.50086,0.33894,0.96731,0.00137607,0.00137607,0.00137607
24,572.611,0.72296,0.49837,1.09732,0.88951,0.97643,0.995,0.88184,0.48,0.43077,0.97105,0.00135844,0.00135844,0.00135844
25,596.407,0.69686,0.48274,1.08509,0.98448,1,0.9924,0.86487,0.53905,0.35702,0.99685,0.0013408,0.0013408,0.0013408
26,620.18,0.67958,0.46421,1.07011,0.9742,1,0.9908,0.87336,0.51752,0.34631,0.96313,0.00132316,0.00132316,0.00132316
27,643.886,0.68111,0.46858,1.06574,0.98329,1,0.994,0.88314,0.51544,0.32159,0.95754,0.00130552,0.00130552,0.00130552
28,667.678,0.68579,0.44882,1.07863,0.97624,1,0.9919,0.8773,0.50871,0.38732,0.97064,0.00128788,0.00128788,0.00128788
29,691.378,0.67375,0.4386,1.06178,0.98292,1,0.9919,0.86893,0.5453,0.32051,0.97695,0.00127024,0.00127024,0.00127024
30,715.193,0.68073,0.43611,1.07061,0.98532,1,0.9903,0.8936,0.47313,0.33104,0.94327,0.0012526,0.0012526,0.0012526
31,738.997,0.68381,0.4559,1.0691,0.98668,1,0.9935,0.89374,0.47066,0.30114,0.92875,0.00123496,0.00123496,0.00123496
32,762.787,0.66628,0.43923,1.06477,0.98183,1,0.9935,0.89694,0.48216,0.30752,0.93695,0.00121733,0.00121733,0.00121733
33,786.575,0.66095,0.43842,1.05706,0.98702,1,0.9945,0.89652,0.46738,0.30822,0.92921,0.00119969,0.00119969,0.00119969
34,810.359,0.6262,0.42021,1.03263,0.98645,1,0.9945,0.90328,0.4732,0.32308,0.93086,0.00118205,0.00118205,0.00118205
35,834.165,0.65204,0.44175,1.05075,0.98419,1,0.9882,0.90019,0.44995,0.32136,0.92232,0.00116441,0.00116441,0.00116441
36,857.943,0.65371,0.43161,1.04978,0.98412,1,0.9919,0.90463,0.45247,0.2968,0.91217,0.00114677,0.00114677,0.00114677
37,881.742,0.64555,0.42814,1.04663,0.98469,1,0.9935,0.89333,0.4642,0.30266,0.9186,0.00112913,0.00112913,0.00112913
38,905.543,0.6587,0.42643,1.05871,0.98458,1,0.9903,0.89239,0.44049,0.3197,0.9184,0.00111149,0.00111149,0.00111149
39,929.266,0.63426,0.40539,1.0488,0.98575,1,0.9929,0.89784,0.44696,0.30402,0.92546,0.00109385,0.00109385,0.00109385
40,953.01,0.63304,0.40478,1.04766,0.98592,1,0.995,0.90742,0.42853,0.2912,0.9151,0.00107622,0.00107622,0.00107622
41,976.821,0.61823,0.39749,1.03587,0.98518,0.99828,0.9887,0.90249,0.41412,0.30798,0.90759,0.00105858,0.00105858,0.00105858
42,1000.63,0.63524,0.39873,1.02976,0.98476,1,0.9929,0.90046,0.45111,0.30545,0.92224,0.00104094,0.00104094,0.00104094
43,1024.37,0.62054,0.40535,1.02026,0.98462,1,0.9908,0.90026,0.43131,0.27891,0.90566,0.0010233,0.0010233,0.0010233
44,1048.14,0.63394,0.40995,1.04356,0.98474,1,0.9908,0.88951,0.49454,0.28866,0.93125,0.00100566,0.00100566,0.00100566
45,1071.88,0.60669,0.3897,1.02125,0.98608,1,0.9929,0.9066,0.43411,0.26904,0.92808,0.000988022,0.000988022,0.000988022
46,1095.71,0.61218,0.3949,1.0406,0.98754,1,0.9882,0.89647,0.43161,0.2832,0.94615,0.000970384,0.000970384,0.000970384
47,1119.47,0.58634,0.37856,1.01625,0.97555,1,0.9877,0.89821,0.45361,0.27318,0.95976,0.000952745,0.000952745,0.000952745
48,1143.4,0.58816,0.37755,1.03081,0.98294,0.9992,0.9856,0.89675,0.44459,0.26568,0.94793,0.000935106,0.000935106,0.000935106
49,1167.15,0.62394,0.39825,1.0377,0.98516,1,0.994,0.89757,0.45758,0.26906,0.94901,0.000917468,0.000917468,0.000917468
50,1190.96,0.62375,0.39919,1.049,0.9764,0.99865,0.9908,0.90242,0.42334,0.26357,0.93443,0.000899829,0.000899829,0.000899829
51,1214.68,0.61579,0.38446,1.04553,0.98519,0.99984,0.994,0.90895,0.42482,0.24779,0.92991,0.00088219,0.00088219,0.00088219
52,1238.44,0.57913,0.36999,1.0201,0.98636,1,0.9929,0.90523,0.45127,0.27229,0.94371,0.000864551,0.000864551,0.000864551
53,1262.16,0.58229,0.37804,1.02307,0.98666,1,0.9908,0.90538,0.42565,0.26216,0.92938,0.000846913,0.000846913,0.000846913
54,1285.89,0.57538,0.36745,1.01359,0.98595,1,0.9935,0.90928,0.4266,0.26294,0.93183,0.000829274,0.000829274,0.000829274
55,1309.66,0.58232,0.36411,1.01915,0.98631,1,0.9924,0.90971,0.42478,0.26417,0.9344,0.000811635,0.000811635,0.000811635
56,1333.46,0.58699,0.36049,1.02772,0.9857,1,0.9903,0.90217,0.43127,0.26061,0.92856,0.000793997,0.000793997,0.000793997
57,1357.18,0.58725,0.36663,1.00801,0.98582,0.99908,0.9893,0.91368,0.42214,0.2735,0.92306,0.000776358,0.000776358,0.000776358
