epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.5822,2.25879,6.76624,2.39708,0.56226,0.08618,0.11284,0.08409,2.14785,4.47494,2.459,0.0671649,2.87358e-05,2.87358e-05
2,115.958,1.99452,5.37351,2.14932,0.89442,0.1,0.11476,0.08861,1.89824,3.53257,2.17012,0.0338601,5.73032e-05,5.73032e-05
3,173.087,1.84709,4.71426,2.01676,0.94807,0.21753,0.29459,0.2129,1.34882,2.58516,1.64275,0.000554771,8.52878e-05,8.52878e-05
4,230.102,1.62314,3.80729,1.82911,0.5814,0.52224,0.49328,0.36682,1.16171,2.00988,1.47554,8.48157e-05,8.48157e-05,8.48157e-05
5,287.056,1.50151,3.1771,1.71869,0.87753,0.6406,0.70896,0.54059,0.94179,1.45337,1.32528,8.39413e-05,8.39413e-05,8.39413e-05
6,344.038,1.35485,2.70006,1.60694,0.9592,0.68184,0.78025,0.60429,0.84465,1.07886,1.27955,8.3067e-05,8.3067e-05,8.3067e-05
7,400.964,1.27866,2.35284,1.54301,0.84681,0.80754,0.8355,0.67504,0.78982,0.91188,1.25126,8.21926e-05,8.21926e-05,8.21926e-05
8,457.882,1.23317,2.10246,1.50955,0.94645,0.85165,0.87127,0.70459,0.75256,0.78261,1.20546,8.13182e-05,8.13182e-05,8.13182e-05
9,514.951,1.18265,1.92602,1.46179,0.97781,0.87619,0.88384,0.71994,0.71431,0.66336,1.17409,8.04438e-05,8.04438e-05,8.04438e-05
10,571.86,1.1267,1.74159,1.42037,0.97473,0.88,0.88838,0.73232,0.71238,0.55655,1.17521,7.95695e-05,7.95695e-05,7.95695e-05
11,628.722,1.1016,1.7116,1.40889,0.99256,0.88183,0.88854,0.74126,0.67836,0.57369,1.14605,7.86951e-05,7.86951e-05,7.86951e-05
12,685.597,1.0582,1.54836,1.37045,0.98797,0.88115,0.89057,0.74537,0.66358,0.52726,1.1377,7.78207e-05,7.78207e-05,7.78207e-05
13,742.42,1.04854,1.45083,1.36194,0.98847,0.88411,0.89283,0.74341,0.6894,0.49862,1.14542,7.69464e-05,7.69464e-05,7.69464e-05
14,799.318,0.98846,1.37855,1.31834,0.9889,0.885,0.89246,0.74211,0.68362,0.48442,1.14726,7.6072e-05,7.6072e-05,7.6072e-05
15,856.213,0.9479,1.25522,1.29126,0.99297,0.88319,0.8995,0.74717,0.67501,0.46085,1.13254,7.51976e-05,7.51976e-05,7.51976e-05
16,913.064,0.97529,1.2716,1.31406,0.99109,0.88653,0.90206,0.75094,0.65812,0.44835,1.12242,7.43232e-05,7.43232e-05,7.43232e-05
17,969.952,0.98987,1.23056,1.32064,0.99031,0.88839,0.90507,0.75315,0.66788,0.44296,1.13409,7.34489e-05,7.34489e-05,7.34489e-05
18,1026.83,0.93862,1.19154,1.27741,0.98971,0.88968,0.91011,0.75201,0.65738,0.41587,1.12326,7.25745e-05,7.25745e-05,7.25745e-05
19,1083.55,0.93196,1.15229,1.27453,0.98951,0.89188,0.91741,0.75736,0.66041,0.42634,1.12387,7.17001e-05,7.17001e-05,7.17001e-05
20,1140.42,0.90393,1.09521,1.2569,0.99073,0.89091,0.92684,0.76275,0.64543,0.39702,1.10913,7.08257e-05,7.08257e-05,7.08257e-05
21,1197.27,0.93664,1.10633,1.2777,0.99077,0.89293,0.92352,0.76011,0.638,0.38146,1.10055,6.99514e-05,6.99514e-05,6.99514e-05
22,1254,0.91587,1.06578,1.26193,0.94995,0.90804,0.93748,0.77614,0.62149,0.38594,1.08526,6.9077e-05,6.9077e-05,6.9077e-05
23,1310.82,0.88659,1.01611,1.24093,0.96396,0.91445,0.93855,0.76668,0.65033,0.38805,1.10495,6.82026e-05,6.82026e-05,6.82026e-05
24,1367.61,0.90556,1.00942,1.2609,0.94168,0.925,0.94405,0.77481,0.66055,0.37582,1.11227,6.73282e-05,6.73282e-05,6.73282e-05
25,1424.26,0.86015,0.94748,1.22722,0.95566,0.92,0.94377,0.77747,0.64966,0.36069,1.10126,6.64539e-05,6.64539e-05,6.64539e-05
26,1481.06,0.86294,0.93904,1.21157,0.95537,0.92267,0.94845,0.78092,0.65078,0.35454,1.10841,6.55795e-05,6.55795e-05,6.55795e-05
27,1537.86,0.88747,0.94282,1.24235,0.91568,0.955,0.94755,0.78979,0.61967,0.34213,1.08693,6.47051e-05,6.47051e-05,6.47051e-05
28,1594.65,0.85221,0.91901,1.22084,0.93086,0.945,0.95026,0.78358,0.62802,0.35266,1.08997,6.38307e-05,6.38307e-05,6.38307e-05
29,1651.4,0.86302,0.88637,1.22985,0.93459,0.9584,0.95564,0.79228,0.62393,0.34589,1.09417,6.29564e-05,6.29564e-05,6.29564e-05
30,1708.17,0.85454,0.89686,1.22603,0.92996,0.965,0.953,0.78655,0.6092,0.33362,1.07974,6.2082e-05,6.2082e-05,6.2082e-05
31,1764.82,0.84403,0.85956,1.21769,0.98827,0.91617,0.95737,0.78446,0.62496,0.32253,1.0953,6.12076e-05,6.12076e-05,6.12076e-05
32,1821.53,0.83976,0.82895,1.20327,0.90555,0.96005,0.95021,0.796,0.61539,0.33837,1.08959,6.03332e-05,6.03332e-05,6.03332e-05
33,1878.34,0.85009,0.83911,1.21391,0.92333,0.965,0.95836,0.79416,0.59989,0.31954,1.07427,5.94589e-05,5.94589e-05,5.94589e-05
34,1935.03,0.8354,0.81322,1.21029,0.93094,0.96,0.96761,0.79531,0.62901,0.32612,1.09663,5.85845e-05,5.85845e-05,5.85845e-05
