epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7436,2.02863,7.01357,2.21231,0.32974,0.09395,0.14775,0.11908,1.54162,4.18219,1.87087,0.0672379,0.000183626,0.000183626
2,118.045,1.57293,4.28195,1.83316,0.66059,0.60998,0.71146,0.51542,1.09848,1.70838,1.43067,0.0340867,0.000365728,0.000365728
3,175.786,1.23524,2.35662,1.54549,0.96804,0.86567,0.87129,0.73307,0.72938,0.72993,1.1872,0.000931721,0.000544124,0.000544124
4,233.503,1.02148,1.39882,1.35943,0.9642,0.87349,0.87448,0.72343,0.71141,0.61666,1.15725,0.000540682,0.000540682,0.000540682
5,291.131,0.99145,1.05547,1.31816,0.92462,0.93125,0.91897,0.76978,0.78747,0.50603,1.28693,0.000535123,0.000535123,0.000535123
6,348.764,0.95224,0.90478,1.28711,0.89294,0.93125,0.9267,0.76791,0.83688,0.56112,1.33092,0.000529564,0.000529564,0.000529564
7,406.365,0.90719,0.79587,1.24455,0.93482,0.97245,0.97071,0.80879,0.75376,0.53246,1.27646,0.000524005,0.000524005,0.000524005
8,464.433,0.89728,0.69712,1.25089,0.93398,0.94994,0.96014,0.80693,0.74291,0.51007,1.26606,0.000518446,0.000518446,0.000518446
9,522.06,0.87566,0.68392,1.2415,0.9397,0.94588,0.95244,0.80292,0.71597,0.65355,1.17735,0.000512887,0.000512887,0.000512887
10,579.842,0.84677,0.65114,1.19868,0.92218,0.95,0.93531,0.78733,0.80493,0.68849,1.26007,0.000507329,0.000507329,0.000507329
11,637.419,0.87008,0.64962,1.22711,0.97433,0.96057,0.98014,0.80323,0.74281,0.40765,1.25112,0.00050177,0.00050177,0.00050177
12,694.987,0.83212,0.6,1.18945,0.97177,0.975,0.98471,0.83745,0.60955,0.40079,1.16208,0.000496211,0.000496211,0.000496211
13,752.667,0.81506,0.58335,1.18426,0.94399,0.98125,0.98162,0.81648,0.64281,0.40366,1.17327,0.000490652,0.000490652,0.000490652
14,810.312,0.82578,0.5819,1.19589,0.9627,0.96696,0.97296,0.81265,0.66605,0.49424,1.14353,0.000485093,0.000485093,0.000485093
15,868.248,0.82485,0.57724,1.20106,0.95359,0.99375,0.9858,0.82439,0.6502,0.45649,1.1393,0.000479534,0.000479534,0.000479534
16,925.927,0.81287,0.5796,1.19148,0.93315,0.98125,0.97571,0.82354,0.60339,0.42893,1.07546,0.000473975,0.000473975,0.000473975
17,983.542,0.7759,0.5286,1.16407,0.95483,0.98819,0.99088,0.85675,0.55721,0.37736,1.04509,0.000468416,0.000468416,0.000468416
18,1041.21,0.7629,0.51732,1.16705,0.98072,0.99778,0.995,0.8564,0.62089,0.35527,1.0515,0.000462857,0.000462857,0.000462857
19,1098.91,0.77603,0.51867,1.1448,0.98356,1,0.995,0.85994,0.59626,0.3318,1.05095,0.000457298,0.000457298,0.000457298
20,1156.56,0.76088,0.51423,1.13373,0.99482,0.99986,0.995,0.85708,0.65433,0.31914,1.08688,0.000451739,0.000451739,0.000451739
21,1214.2,0.74807,0.5006,1.11722,0.9871,1,0.995,0.84998,0.57754,0.3567,1.02626,0.00044618,0.00044618,0.00044618
22,1272.13,0.75075,0.4934,1.12507,0.98398,1,0.995,0.86198,0.5942,0.36048,1.03164,0.000440622,0.000440622,0.000440622
23,1329.84,0.73044,0.48026,1.10916,0.99294,1,0.995,0.8636,0.63415,0.31196,1.07012,0.000435063,0.000435063,0.000435063
24,1387.47,0.7393,0.48734,1.11765,0.98159,0.99816,0.995,0.87298,0.57214,0.34484,1.01658,0.000429504,0.000429504,0.000429504
25,1445.16,0.7094,0.45631,1.10062,0.99402,1,0.995,0.87525,0.53985,0.3102,1.00275,0.000423945,0.000423945,0.000423945
26,1502.88,0.70768,0.46896,1.09117,0.98893,1,0.995,0.86639,0.58819,0.32072,1.02821,0.000418386,0.000418386,0.000418386
27,1560.48,0.70263,0.4494,1.08423,0.99489,1,0.995,0.86897,0.62236,0.31455,1.05304,0.000412827,0.000412827,0.000412827
28,1618.07,0.71858,0.45989,1.09506,0.99329,1,0.995,0.85255,0.57047,0.27894,1.01891,0.000407268,0.000407268,0.000407268
29,1676,0.71334,0.46152,1.08416,0.99471,0.99787,0.995,0.86431,0.60896,0.29361,1.04751,0.000401709,0.000401709,0.000401709
30,1733.6,0.6786,0.4255,1.08481,0.98626,1,0.995,0.87115,0.60457,0.30274,1.0426,0.00039615,0.00039615,0.00039615
31,1791.25,0.69793,0.4504,1.09394,0.99413,1,0.995,0.86416,0.64334,0.31059,1.07531,0.000390591,0.000390591,0.000390591
32,1848.87,0.69156,0.43618,1.08307,0.99046,0.99902,0.995,0.85622,0.60123,0.29745,1.02794,0.000385032,0.000385032,0.000385032
33,1906.45,0.68554,0.41616,1.08131,0.99002,1,0.995,0.85958,0.6064,0.28993,1.0448,0.000379473,0.000379473,0.000379473
34,1964.07,0.69358,0.43693,1.09714,0.99309,1,0.995,0.8742,0.57787,0.26851,1.03023,0.000373914,0.000373914,0.000373914
35,2021.98,0.68311,0.42162,1.0761,0.99503,0.99756,0.995,0.88313,0.57938,0.26521,1.02634,0.000368356,0.000368356,0.000368356
36,2079.61,0.68971,0.4186,1.07708,0.99385,1,0.995,0.87811,0.54889,0.26616,1.0012,0.000362797,0.000362797,0.000362797
37,2137.24,0.67527,0.41215,1.07551,0.99156,1,0.995,0.88312,0.5679,0.31286,1.02103,0.000357238,0.000357238,0.000357238
38,2194.81,0.66234,0.41406,1.06298,0.989,1,0.995,0.86945,0.55694,0.29534,1.00402,0.000351679,0.000351679,0.000351679
39,2252.4,0.67338,0.41944,1.08337,0.98851,1,0.995,0.87608,0.55505,0.26002,1.00619,0.00034612,0.00034612,0.00034612
40,2309.99,0.65496,0.39326,1.04736,0.98768,1,0.995,0.85962,0.6204,0.32558,1.04434,0.000340561,0.000340561,0.000340561
41,2367.58,0.65739,0.40674,1.04998,0.99028,1,0.995,0.87432,0.66522,0.28367,1.11685,0.000335002,0.000335002,0.000335002
42,2425.45,0.66271,0.40207,1.05611,0.99719,1,0.995,0.87796,0.55999,0.31984,1.01259,0.000329443,0.000329443,0.000329443
