epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.6616,2.0667,5.96476,2.23119,0.35638,0.19,0.20874,0.15929,1.62306,3.11648,1.90444,0.0671632,0.000190677,0.000190677
2,122.788,1.61968,3.71058,1.83307,0.8774,0.54491,0.66769,0.49456,1.05136,1.79513,1.42114,0.0340184,0.000379303,0.000379303
3,182.531,1.30866,2.38882,1.56564,0.89204,0.85401,0.87914,0.67267,0.8354,0.88223,1.25586,0.000869904,0.000564093,0.000564093
4,242.099,1.12086,1.57526,1.40158,0.9872,0.88518,0.91646,0.73167,0.78448,0.66051,1.19453,0.000560072,0.000560072,0.000560072
5,301.617,1.05178,1.19334,1.32891,0.92711,0.92427,0.92963,0.76229,0.74086,0.55738,1.18475,0.00055432,0.00055432,0.00055432
6,361.129,0.9385,0.89554,1.258,0.94831,0.9447,0.96197,0.78386,0.70633,0.41549,1.13224,0.000548568,0.000548568,0.000548568
7,420.67,0.96172,0.84485,1.28086,0.94793,0.975,0.98253,0.79168,0.71234,0.40512,1.13287,0.000542816,0.000542816,0.000542816
8,480.235,0.91319,0.78489,1.24444,0.94283,0.98683,0.98556,0.81958,0.63731,0.37802,1.08801,0.000537064,0.000537064,0.000537064
9,539.711,0.88201,0.71427,1.23647,0.92646,0.96841,0.97188,0.80308,0.6783,0.39249,1.09634,0.000531312,0.000531312,0.000531312
10,599.221,0.86934,0.67951,1.21202,0.96466,0.98534,0.99476,0.81506,0.69053,0.40793,1.10024,0.000525559,0.000525559,0.000525559
11,658.673,0.87136,0.66127,1.22061,0.97616,0.98868,0.99129,0.81987,0.66232,0.35242,1.06903,0.000519807,0.000519807,0.000519807
12,718.149,0.86131,0.63965,1.18564,0.95562,0.99057,0.99435,0.82764,0.63584,0.33218,1.0428,0.000514055,0.000514055,0.000514055
13,777.762,0.82714,0.58043,1.16547,0.97402,0.99349,0.99435,0.83933,0.64086,0.31213,1.05377,0.000508303,0.000508303,0.000508303
14,837.328,0.82838,0.60268,1.15079,0.97423,0.99307,0.99452,0.83977,0.62042,0.32097,1.05444,0.000502551,0.000502551,0.000502551
15,896.869,0.81582,0.55764,1.15499,0.98268,0.99908,0.995,0.83239,0.63726,0.3046,1.05683,0.000496799,0.000496799,0.000496799
16,956.405,0.81447,0.56069,1.14393,0.98672,0.99217,0.995,0.84646,0.61961,0.30565,1.04463,0.000491047,0.000491047,0.000491047
17,1015.95,0.79877,0.53395,1.13016,0.98158,1,0.99381,0.82526,0.68337,0.31855,1.08841,0.000485295,0.000485295,0.000485295
18,1075.52,0.80962,0.55459,1.15706,0.99125,1,0.995,0.83402,0.64966,0.31082,1.05491,0.000479543,0.000479543,0.000479543
