epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6222,3.14094,5.03818,4.24299,0.00101,0.37895,0.0055,0.0014,2.64001,4.70349,4.16037,0.00023331,0.00023331,0.00023331
2,61.8846,3.11407,4.87462,4.10377,0.00109,0.37895,0.0011,0.00025,2.67103,4.67314,4.15162,0.000465284,0.000465284,0.000465284
3,88.698,2.98954,4.43699,3.79923,0.00115,0.29737,0.00117,0.00015,2.64467,4.75036,4.27546,0.000684522,0.000684522,0.000684522
4,115.275,2.90567,3.90754,3.48507,0.00115,0.12632,0.00113,0.0003,2.43447,4.18902,5.20787,0.000891025,0.000891025,0.000891025
5,141.796,2.80448,3.55787,3.3222,0.00162,0.26632,0.00183,0.00036,2.39893,4.23145,4.1589,0.000995222,0.000995222,0.000995222
6,168.337,2.68656,3.17863,3.20037,0.93804,0.22547,0.36535,0.19314,2.32613,3.12082,2.95081,0.000966278,0.000966278,0.000966278
7,195.034,2.60117,2.9146,3.11706,0.88211,0.49877,0.64261,0.30758,2.02473,2.02994,2.50005,0.000937333,0.000937333,0.000937333
8,221.691,2.531,2.70245,3.02605,0.83357,0.73173,0.82486,0.37197,1.85787,1.9426,2.53531,0.000908389,0.000908389,0.000908389
9,248.386,2.36666,2.52956,2.88475,0.52824,0.80895,0.77579,0.42717,1.82627,1.62084,2.39189,0.000879444,0.000879444,0.000879444
10,275.048,2.31909,2.33432,2.83121,0.86929,0.44124,0.78722,0.36579,1.97411,1.68,2.67566,0.0008505,0.0008505,0.0008505
11,301.6,2.21913,2.23685,2.7977,0.73338,0.7929,0.89742,0.50179,1.67799,1.69517,2.32547,0.000821555,0.000821555,0.000821555
12,328.21,2.10145,2.11306,2.68828,0.70948,0.86911,0.94127,0.38221,2.13975,1.54427,2.73717,0.000792611,0.000792611,0.000792611
13,354.775,2.04102,1.98473,2.61302,0.91333,0.64876,0.77584,0.39281,1.79296,2.13328,2.41752,0.000763666,0.000763666,0.000763666
