epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.0803,1.91969,5.35334,2.10758,0.77923,0.41775,0.45389,0.37203,1.05452,2.07873,1.44432,0.0675976,0.0005646,0.0005646
2,120.642,1.35569,2.52654,1.60417,0.90382,0.79897,0.86516,0.66046,0.89258,1.0109,1.29765,0.0348238,0.00112413,0.00112413
3,179.808,1.17222,1.52281,1.44531,0.63464,0.71486,0.78538,0.59071,0.90377,0.93852,1.29161,0.00203855,0.00167225,0.00167225
4,238.691,1.17212,1.20693,1.39775,0.82484,0.76837,0.77679,0.57306,0.98941,0.95468,1.36521,0.00166129,0.00166129,0.00166129
5,297.52,1.21313,1.14692,1.41218,0.84046,0.79948,0.93248,0.67276,1.00498,1.5723,1.42534,0.00164417,0.00164417,0.00164417
6,356.514,1.2361,1.16548,1.44012,0.74077,0.56816,0.68061,0.47764,1.09828,2.32296,1.53957,0.00162706,0.00162706,0.00162706
7,415.399,1.2995,1.20325,1.49651,0.6117,0.79261,0.79336,0.53505,1.2641,3.13618,1.61474,0.00160995,0.00160995,0.00160995
8,474.654,1.31405,1.17963,1.49484,0.59361,0.50244,0.58658,0.34925,1.47172,3.19628,1.85441,0.00159284,0.00159284,0.00159284
9,533.578,1.33824,1.19178,1.52042,0.76779,0.78431,0.85403,0.60433,1.11577,2.52688,1.69357,0.00157573,0.00157573,0.00157573
10,592.467,1.28283,1.11288,1.48163,0.74988,0.8504,0.88836,0.58731,1.21907,2.14375,1.71201,0.00155862,0.00155862,0.00155862
11,651.392,1.27375,1.1287,1.4807,0.70485,0.7509,0.81203,0.52116,1.38204,3.90869,1.87538,0.00154151,0.00154151,0.00154151
12,710.335,1.24067,1.06225,1.44814,0.63511,0.69827,0.74685,0.52025,1.1683,3.39694,1.58665,0.00152439,0.00152439,0.00152439
13,769.228,1.21405,1.0311,1.44427,0.88846,0.84518,0.90916,0.6606,1.08726,1.61313,1.50055,0.00150728,0.00150728,0.00150728
14,828.193,1.21996,1.01433,1.46075,0.8459,0.75109,0.86665,0.62005,1.07841,1.55446,1.55558,0.00149017,0.00149017,0.00149017
15,887.257,1.18636,0.9831,1.44715,0.77955,0.95657,0.95462,0.70303,1.03284,1.82525,1.50447,0.00147306,0.00147306,0.00147306
16,946.556,1.20641,1.00329,1.47675,0.89293,0.91,0.9394,0.64449,1.05825,1.21282,1.47541,0.00145595,0.00145595,0.00145595
17,1005.4,1.15909,0.94907,1.41851,0.80117,0.90853,0.94955,0.73825,0.91111,1.17138,1.34164,0.00143884,0.00143884,0.00143884
18,1064.36,1.16531,0.93606,1.43762,0.90382,0.93089,0.94812,0.72953,0.87764,0.93723,1.32286,0.00142173,0.00142173,0.00142173
19,1123.25,1.15512,0.95054,1.41616,0.88287,0.95,0.94587,0.71084,0.88622,0.96324,1.29976,0.00140461,0.00140461,0.00140461
20,1182.19,1.09743,0.87883,1.38809,0.87191,0.88108,0.95353,0.71678,0.88076,0.73932,1.31682,0.0013875,0.0013875,0.0013875
21,1241.12,1.09959,0.85355,1.39284,0.85612,0.92647,0.96957,0.73444,0.86391,0.8682,1.33861,0.00137039,0.00137039,0.00137039
